symbol,initial_value,final_value,total_return,return_pct,annualized_return,spy_return,outperformance,sharpe,calmar,sqn,max_drawdown,max_drawdown_money,total_trades,wins,losses,win_rate,avg_win,avg_loss,rr_ratio,profit_factor,expectancy,best_trade,worst_trade,avg_trade_len,max_trade_len,max_win_streak,max_loss_streak
PLD,10000,12685.437113240368,2685.4371132403685,26.854371132403678,12.656280325541157,50.068517803902424,-23.214146671498746,2.459198731724469,2.3572711901845316,1.1611494598449552,11.392143273214767,1372.7031686481678,11,5,5,45.45454545454545,714.8025402910117,248.9952384925473,2.8707478288280863,2.8707478288280863,189.094660954525,1438.8443296364908,-576.1012190615427,15.5,31,2,3
ASML,10000,9538.716407143103,-461.2835928568966,-4.61283592856897,-2.3382323082590695,50.068517803902424,-54.68135373247139,0.012992240080845862,-0.11413478126464485,-0.4165764783537782,40.41568991903674,4544.484923087063,12,4,7,33.33333333333333,721.7307062911332,556.7008750075262,1.2964425577405028,0.7408243187088588,-130.55701457463985,1077.5482497932803,-1389.7136452048492,12.818181818181818,35,3,5
TSM,10000,20267.60800502125,10267.608005021251,102.67608005021249,42.46435647381739,50.068517803902424,52.60756224631007,1.1534863047065582,6.0824467955385035,2.315110304590512,16.880719799394836,2003.5188591376136,14,7,6,50.0,1716.513176108869,408.3707843760762,4.203320222163837,4.9038735925244765,654.0711958663964,2622.7600708007812,-767.3725380150906,15.846153846153847,34,4,3
MU,10000,28875.77910505345,18875.77910505345,188.7577910505345,70.10796236685994,50.068517803902424,138.68927324663207,1.2308381076180592,9.537794702411144,2.4289358641982104,19.790506814202736,4289.407680275057,16,11,4,68.75,1928.6141096794015,1108.056594019542,1.7405375502376081,4.786478263153422,979.6545147734817,4468.120361328125,-2133.069138616599,10.866666666666667,25,4,2
KLAC,10000,11278.932446798728,1278.932446798728,12.789324467987285,6.215024599322172,50.068517803902424,-37.27919333591514,0.2672808005574183,0.382600279321175,0.4133040560267767,33.42737880557386,3883.6420221665867,14,5,9,35.714285714285715,1137.3970949797472,489.7836697888896,2.3222438091290325,1.290135449516129,91.3523176284807,1424.975051028246,-1245.2718516240093,12.0,24,2,6
BA,10000,11592.268417358398,1592.2684173583984,15.922684173583978,7.683211679603508,50.068517803902424,-34.14583363031845,0.826436076103637,1.3643652477532282,0.6096933906995098,11.670397058122594,1312.6803436279297,11,5,5,45.45454545454545,769.0279815673828,479.0862121582031,1.605197482313341,1.605197482313341,88.23842135342687,1490.8495330810547,-690.4105682373047,13.3,28,2,2
RTX,10000,10067.34849209347,67.34849209346976,0.6734849209347082,0.3368468533877067,50.068517803902424,-49.39503288296771,-0.08660532849049794,0.035856906112187746,-0.4028238537235547,18.782572005167815,1976.6811995766839,9,2,6,22.22222222222222,796.3003455323493,387.2970761916563,2.0560453318224776,0.6853484439408258,-124.27542691965502,1284.173459028122,-1036.4639664924741,22.0,46,1,3
NOC,10000,13435.242425176117,3435.2424251761167,34.35242425176117,15.944521941259527,50.068517803902424,-15.716093552141253,1.5593965267810077,2.168951744577491,1.553710209152836,15.838261195826178,2017.9700384149182,8,5,2,62.5,890.0569337957365,595.8715857684699,1.4937059511704496,3.7342648779261243,332.8337389591592,1359.167463021724,-663.2619106495392,24.285714285714285,50,2,1
GD,10000,12519.42911678585,2519.42911678585,25.194291167858495,11.915248999958017,50.068517803902424,-24.87422663604393,0.7808559889615095,2.298582519563647,0.9524190078499106,10.96079473041554,1143.3353104891557,8,3,4,37.5,1025.0299064692736,305.91893138120884,3.3506586265887965,2.5129939699415975,193.18688281272205,1448.559213859111,-517.7686291849556,27.571428571428573,66,2,2
HII,10000,16366.950837874247,6366.950837874247,63.66950837874246,27.996053889446525,50.068517803902424,13.600990574840033,2.2431392140491453,4.244921529232369,2.0071059170664407,14.998983594934943,1750.1327352123699,9,6,2,66.66666666666666,903.4112513217832,398.85821906142917,2.2649934441557704,6.794980332467311,469.3214278607122,1781.9201354980469,-547.1852514803379,19.375,59,3,2
