symbol,initial_value,final_value,total_return,return_pct,annualized_return,spy_return,outperformance,sharpe,calmar,sqn,max_drawdown,max_drawdown_money,total_trades,wins,losses,win_rate,avg_win,avg_loss,rr_ratio,profit_factor,expectancy,best_trade,worst_trade,avg_trade_len,max_trade_len,max_win_streak,max_loss_streak
MTD,10000,9530.989501953125,-469.010498046875,-4.690104980468746,-2.382554688004279,49.115207123903474,-53.80531210437222,-0.5360126520825957,-0.2243066229899814,-0.9484964284053826,20.909346848301613,2370.96923828125,6,1,4,16.666666666666664,417.83984375,286.96258544921875,1.456077777860492,0.364019444465123,-169.49551391601568,417.83984375,-520.7301025390625,41.4,61,1,4
MU,10000,31913.9578685958,21913.9578685958,219.139578685958,79.0582267355245,49.115207123903474,170.02437156205454,0.9664601015331614,5.324112206165746,0.9934501753920891,41.159834766851255,9530.389830517019,8,4,4,50.0,7352.017216818253,1873.5277496693025,3.9241570978150504,3.9241570978150504,2739.244733574475,22682.5958506478,-2910.5437927345956,45.625,159,2,2
NCLH,10000,18580.36205482483,8580.36205482483,85.80362054824829,36.47812604915022,49.115207123903474,36.688413424344816,1.0243613515140506,2.7903706578270207,1.7086217695802748,30.749900665550715,4015.199167251587,4,3,1,75.0,3036.1871395111084,528.1993637084961,5.7481840155845525,17.244552046753657,2145.0905137062073,5575.490325927734,-528.1993637084961,75.75,137,2,1
NDAQ,10000,19550.21609700816,9550.21609700816,95.50216097008159,40.008938934782655,49.115207123903474,46.386953846178116,1.507943471489081,8.540791798357194,1.873176661516389,11.18188608560289,1670.5105210769816,4,2,1,50.0,3724.7611344310308,676.7329469274939,5.504033978753671,11.008067957507341,1524.0140937517685,4005.508951080003,-676.7329469274939,113.66666666666667,222,1,1
NDSN,10000,8968.180813614154,-1031.8191863858465,-10.31819186385846,-5.320062306105166,49.115207123903474,-59.43339898776193,-0.6018715087265474,-0.3422116088046163,-5.25355854602233,30.151495736515386,3356.153130763848,6,0,5,0.0,0.0,420.98083998648497,0.0,0.0,-420.98083998648497,0.0,-674.6745822565621,40.8,138,0,5
NEE,10000,15639.675536026927,5639.675536026927,56.39675536026927,25.170151324645573,49.115207123903474,7.2815482363657935,0.8970848286793043,2.9869881290915976,1.503033177882326,18.88081000757798,3097.095564249652,7,5,2,71.42857142857143,1519.1103951853693,977.9382199499606,1.5533807393917987,3.883451848479497,805.6679337181322,3209.5971487865013,-1097.0265805312104,53.57142857142857,94,2,1
NEM,10000,26147.9784777092,16147.978477709199,161.479784777092,62.0132781138081,49.115207123903474,112.36457765318852,0.7629645873039921,5.167219809700671,1.1522037337590183,31.250806182840954,4507.098886134607,5,2,2,40.0,5507.675954145183,767.2585220509927,7.178383551116996,7.178383551116996,1742.7152684274774,9269.829705361211,-878.5177448947808,66.5,159,1,2
NFLX,10000,11728.712280273438,1728.7122802734375,17.287122802734366,8.333585007804745,49.115207123903474,-31.828084321169108,0.8777321870394413,0.61020199514952,0.3691949351504966,28.33016433926677,4636.209129333496,8,2,6,25.0,3054.745433807373,730.1297645568847,4.183839068198098,1.3946130227326994,216.0890350341798,3431.9998168945312,-915.1236953735352,31.5,119,2,4
NI,10000,13103.568048572555,3103.568048572555,31.035680485725557,14.532470308390621,49.115207123903474,-18.079526638177917,0.5101401762558657,2.240084496549713,0.8121800250796803,13.854691880385861,2094.265993083891,5,2,3,40.0,2304.5991905088904,501.8767774817423,4.59196219851541,3.061308132343606,620.7136097145109,3879.0256135798063,-692.2127100020133,73.6,208,1,2
NKE,10000,6504.085283067379,-3495.9147169326206,-34.95914716932621,-19.42116676425565,49.115207123903474,-84.07435429322967,-1.2051761849342495,-0.8397160278908415,-1.7837567958520413,41.632106579095456,4219.430022959589,9,2,7,22.22222222222222,545.7920880942099,655.3569847315778,0.8328164661550932,0.23794756175859802,-388.4349685480693,851.5187252221886,-1729.0264769478642,20.444444444444443,71,1,4
NOC,10000,10878.57571385212,878.5757138521203,8.78575713852121,4.317908705393081,49.115207123903474,-40.32944998538226,0.2293451971630428,0.37537770133528714,0.05096827324548991,23.40511199058619,2470.608413012552,7,1,5,14.285714285714285,2271.6330681815425,429.05539176432177,5.2944983603174025,1.0588996720634807,-43.24275462919837,2271.6330681815425,-598.1042610097686,35.333333333333336,123,1,4
NOW,10000,13545.000350952148,3545.0003509521484,35.45000350952148,16.453358572760422,49.115207123903474,-13.665203614381994,0.5537371722176779,1.2593218926019547,0.7035527031735442,28.15007324003259,5306.793884277344,8,2,5,25.0,4163.74275970459,824.9170776367188,5.0474682517583185,2.018987300703327,422.24788169860835,4238.199981689452,-1077.7518005371094,41.857142857142854,149,1,3
